"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C02339V02812","County","UNIT","VALUE"
"HSA10","New House Registrations","1984","1984","04","Kilkenny","Number","139"
"HSA10","New House Registrations","1984","1984","05","Laois","Number","58"
"HSA10","New House Registrations","1984","1984","06","Longford","Number","35"
"HSA10","New House Registrations","1984","1984","07","Louth","Number","205"
"HSA10","New House Registrations","1984","1984","08","Meath","Number","194"
"HSA10","New House Registrations","1984","1984","09","Offaly","Number","42"
"HSA10","New House Registrations","1984","1984","10","Westmeath","Number","127"
"HSA10","New House Registrations","1984","1984","11","Wexford","Number","127"
"HSA10","New House Registrations","1984","1984","12","Wicklow","Number","338"
"HSA10","New House Registrations","1984","1984","13","Clare","Number","235"
"HSA10","New House Registrations","1984","1984","14","Cork","Number","1267"
"HSA10","New House Registrations","1984","1984","15","Kerry","Number","148"
"HSA10","New House Registrations","1984","1984","16","Limerick","Number","524"
"HSA10","New House Registrations","1984","1984","17","Tipperary","Number","198"
"HSA10","New House Registrations","1984","1984","18","Waterford","Number","335"
"HSA10","New House Registrations","1984","1984","19","Galway","Number","357"
"HSA10","New House Registrations","1984","1984","20","Leitrim","Number","25"
"HSA10","New House Registrations","1984","1984","21","Mayo","Number","105"
"HSA10","New House Registrations","1984","1984","22","Roscommon","Number","23"
"HSA10","New House Registrations","1984","1984","23","Sligo","Number","159"
"HSA10","New House Registrations","1984","1984","24","Cavan","Number","53"
"HSA10","New House Registrations","1984","1984","25","Donegal","Number","159"
"HSA10","New House Registrations","1984","1984","26","Monaghan","Number","28"
"HSA10","New House Registrations","1985","1985","-","All Counties","Number","8819"
"HSA10","New House Registrations","1985","1985","01","Carlow","Number","69"
"HSA10","New House Registrations","1985","1985","02","Dublin","Number","3850"
"HSA10","New House Registrations","1985","1985","03","Kildare","Number","522"
"HSA10","New House Registrations","1985","1985","04","Kilkenny","Number","134"
"HSA10","New House Registrations","1985","1985","05","Laois","Number","50"
"HSA10","New House Registrations","1985","1985","06","Longford","Number","33"
"HSA10","New House Registrations","1985","1985","07","Louth","Number","217"
"HSA10","New House Registrations","1985","1985","08","Meath","Number","154"
"HSA10","New House Registrations","1985","1985","09","Offaly","Number","42"
"HSA10","New House Registrations","1985","1985","10","Westmeath","Number","76"
"HSA10","New House Registrations","1985","1985","11","Wexford","Number","108"
"HSA10","New House Registrations","1985","1985","12","Wicklow","Number","288"
"HSA10","New House Registrations","1985","1985","13","Clare","Number","214"
"HSA10","New House Registrations","1985","1985","14","Cork","Number","1074"
"HSA10","New House Registrations","1985","1985","15","Kerry","Number","129"
"HSA10","New House Registrations","1985","1985","16","Limerick","Number","340"
"HSA10","New House Registrations","1985","1985","17","Tipperary","Number","222"
"HSA10","New House Registrations","1985","1985","18","Waterford","Number","378"
"HSA10","New House Registrations","1985","1985","19","Galway","Number","454"
"HSA10","New House Registrations","1985","1985","20","Leitrim","Number","7"
"HSA10","New House Registrations","1985","1985","21","Mayo","Number","91"
"HSA10","New House Registrations","1985","1985","22","Roscommon","Number","19"
"HSA10","New House Registrations","1985","1985","23","Sligo","Number","120"
"HSA10","New House Registrations","1985","1985","24","Cavan","Number","66"
"HSA10","New House Registrations","1985","1985","25","Donegal","Number","130"
"HSA10","New House Registrations","1985","1985","26","Monaghan","Number","32"
"HSA10","New House Registrations","1986","1986","-","All Counties","Number","8249"
"HSA10","New House Registrations","1986","1986","01","Carlow","Number","41"
"HSA10","New House Registrations","1986","1986","02","Dublin","Number","3722"
"HSA10","New House Registrations","1986","1986","03","Kildare","Number","508"
"HSA10","New House Registrations","1986","1986","04","Kilkenny","Number","170"
"HSA10","New House Registrations","1986","1986","05","Laois","Number","60"
"HSA10","New House Registrations","1986","1986","06","Longford","Number","20"
"HSA10","New House Registrations","1986","1986","07","Louth","Number","212"
"HSA10","New House Registrations","1986","1986","08","Meath","Number","157"
"HSA10","New House Registrations","1986","1986","09","Offaly","Number","42"
"HSA10","New House Registrations","1986","1986","10","Westmeath","Number","57"
"HSA10","New House Registrations","1986","1986","11","Wexford","Number","72"
"HSA10","New House Registrations","1986","1986","12","Wicklow","Number","191"
"HSA10","New House Registrations","1986","1986","13","Clare","Number","232"
"HSA10","New House Registrations","1986","1986","14","Cork","Number","1041"
"HSA10","New House Registrations","1986","1986","15","Kerry","Number","135"
"HSA10","New House Registrations","1986","1986","16","Limerick","Number","370"
"HSA10","New House Registrations","1986","1986","17","Tipperary","Number","182"
"HSA10","New House Registrations","1986","1986","18","Waterford","Number","302"
"HSA10","New House Registrations","1986","1986","19","Galway","Number","339"
"HSA10","New House Registrations","1986","1986","20","Leitrim","Number","11"
"HSA10","New House Registrations","1986","1986","21","Mayo","Number","55"
"HSA10","New House Registrations","1986","1986","22","Roscommon","Number","42"
"HSA10","New House Registrations","1986","1986","23","Sligo","Number","105"
"HSA10","New House Registrations","1986","1986","24","Cavan","Number","37"
"HSA10","New House Registrations","1986","1986","25","Donegal","Number","127"
"HSA10","New House Registrations","1986","1986","26","Monaghan","Number","19"
"HSA10","New House Registrations","1987","1987","-","All Counties","Number","7099"
"HSA10","New House Registrations","1987","1987","01","Carlow","Number","30"
"HSA10","New House Registrations","1987","1987","02","Dublin","Number","3356"
"HSA10","New House Registrations","1987","1987","03","Kildare","Number","329"
"HSA10","New House Registrations","1987","1987","04","Kilkenny","Number","156"
"HSA10","New House Registrations","1987","1987","05","Laois","Number","68"
"HSA10","New House Registrations","1987","1987","06","Longford","Number","22"
"HSA10","New House Registrations","1987","1987","07","Louth","Number","121"
"HSA10","New House Registrations","1987","1987","08","Meath","Number","136"
"HSA10","New House Registrations","1987","1987","09","Offaly","Number","65"
"HSA10","New House Registrations","1987","1987","10","Westmeath","Number","77"
"HSA10","New House Registrations","1987","1987","11","Wexford","Number","136"
"HSA10","New House Registrations","1987","1987","12","Wicklow","Number","195"
"HSA10","New House Registrations","1987","1987","13","Clare","Number","161"
"HSA10","New House Registrations","1987","1987","14","Cork","Number","791"
"HSA10","New House Registrations","1987","1987","15","Kerry","Number","93"
"HSA10","New House Registrations","1987","1987","16","Limerick","Number","284"
"HSA10","New House Registrations","1987","1987","17","Tipperary","Number","187"
"HSA10","New House Registrations","1987","1987","18","Waterford","Number","300"
"HSA10","New House Registrations","1987","1987","19","Galway","Number","307"
"HSA10","New House Registrations","1987","1987","20","Leitrim","Number","12"
"HSA10","New House Registrations","1987","1987","21","Mayo","Number","45"
"HSA10","New House Registrations","1987","1987","22","Roscommon","Number","21"
"HSA10","New House Registrations","1987","1987","23","Sligo","Number","57"
"HSA10","New House Registrations","1987","1987","24","Cavan","Number","35"
"HSA10","New House Registrations","1987","1987","25","Donegal","Number","64"
"HSA10","New House Registrations","1987","1987","26","Monaghan","Number","51"
"HSA10","New House Registrations","1988","1988","-","All Counties","Number","8297"
"HSA10","New House Registrations","1988","1988","01","Carlow","Number","25"
"HSA10","New House Registrations","1988","1988","02","Dublin","Number","3942"
"HSA10","New House Registrations","1988","1988","03","Kildare","Number","370"
"HSA10","New House Registrations","1988","1988","04","Kilkenny","Number","206"
"HSA10","New House Registrations","1988","1988","05","Laois","Number","109"
"HSA10","New House Registrations","1988","1988","06","Longford","Number","17"
"HSA10","New House Registrations","1988","1988","07","Louth","Number","110"
"HSA10","New House Registrations","1988","1988","08","Meath","Number","97"
"HSA10","New House Registrations","1988","1988","09","Offaly","Number","73"
"HSA10","New House Registrations","1988","1988","10","Westmeath","Number","74"
"HSA10","New House Registrations","1988","1988","11","Wexford","Number","131"
"HSA10","New House Registrations","1988","1988","12","Wicklow","Number","113"
"HSA10","New House Registrations","1988","1988","13","Clare","Number","191"
"HSA10","New House Registrations","1988","1988","14","Cork","Number","925"
"HSA10","New House Registrations","1988","1988","15","Kerry","Number","125"
"HSA10","New House Registrations","1988","1988","16","Limerick","Number","395"
"HSA10","New House Registrations","1988","1988","17","Tipperary","Number","164"
"HSA10","New House Registrations","1988","1988","18","Waterford","Number","338"
"HSA10","New House Registrations","1988","1988","19","Galway","Number","473"
"HSA10","New House Registrations","1988","1988","20","Leitrim","Number","13"
"HSA10","New House Registrations","1988","1988","21","Mayo","Number","80"
"HSA10","New House Registrations","1988","1988","22","Roscommon","Number","30"
"HSA10","New House Registrations","1988","1988","23","Sligo","Number","125"
"HSA10","New House Registrations","1988","1988","24","Cavan","Number","61"
"HSA10","New House Registrations","1988","1988","25","Donegal","Number","73"
"HSA10","New House Registrations","1988","1988","26","Monaghan","Number","37"
"HSA10","New House Registrations","1989","1989","-","All Counties","Number","11627"
"HSA10","New House Registrations","1989","1989","01","Carlow","Number","120"
"HSA10","New House Registrations","1989","1989","02","Dublin","Number","4500"
"HSA10","New House Registrations","1989","1989","03","Kildare","Number","888"
"HSA10","New House Registrations","1989","1989","04","Kilkenny","Number","261"
"HSA10","New House Registrations","1989","1989","05","Laois","Number","88"
"HSA10","New House Registrations","1989","1989","06","Longford","Number","24"
"HSA10","New House Registrations","1989","1989","07","Louth","Number","147"
"HSA10","New House Registrations","1989","1989","08","Meath","Number","229"
"HSA10","New House Registrations","1989","1989","09","Offaly","Number","69"
"HSA10","New House Registrations","1989","1989","10","Westmeath","Number","166"
"HSA10","New House Registrations","1989","1989","11","Wexford","Number","191"
"HSA10","New House Registrations","1989","1989","12","Wicklow","Number","394"
"HSA10","New House Registrations","1989","1989","13","Clare","Number","194"
"HSA10","New House Registrations","1989","1989","14","Cork","Number","1241"
"HSA10","New House Registrations","1989","1989","15","Kerry","Number","267"
"HSA10","New House Registrations","1989","1989","16","Limerick","Number","667"
"HSA10","New House Registrations","1989","1989","17","Tipperary","Number","208"
"HSA10","New House Registrations","1989","1989","18","Waterford","Number","465"
"HSA10","New House Registrations","1989","1989","19","Galway","Number","734"
"HSA10","New House Registrations","1989","1989","20","Leitrim","Number","10"
"HSA10","New House Registrations","1989","1989","21","Mayo","Number","158"
"HSA10","New House Registrations","1989","1989","22","Roscommon","Number","40"
"HSA10","New House Registrations","1989","1989","23","Sligo","Number","224"
"HSA10","New House Registrations","1989","1989","24","Cavan","Number","74"
"HSA10","New House Registrations","1989","1989","25","Donegal","Number","212"
"HSA10","New House Registrations","1989","1989","26","Monaghan","Number","56"
"HSA10","New House Registrations","1990","1990","-","All Counties","Number","11346"
"HSA10","New House Registrations","1990","1990","01","Carlow","Number","123"
"HSA10","New House Registrations","1990","1990","02","Dublin","Number","4616"
"HSA10","New House Registrations","1990","1990","03","Kildare","Number","770"
"HSA10","New House Registrations","1990","1990","04","Kilkenny","Number","230"
"HSA10","New House Registrations","1990","1990","05","Laois","Number","98"
"HSA10","New House Registrations","1990","1990","06","Longford","Number","34"
"HSA10","New House Registrations","1990","1990","07","Louth","Number","196"
"HSA10","New House Registrations","1990","1990","08","Meath","Number","297"
"HSA10","New House Registrations","1990","1990","09","Offaly","Number","110"
"HSA10","New House Registrations","1990","1990","10","Westmeath","Number","150"
"HSA10","New House Registrations","1990","1990","11","Wexford","Number","159"
"HSA10","New House Registrations","1990","1990","12","Wicklow","Number","297"
"HSA10","New House Registrations","1990","1990","13","Clare","Number","299"
"HSA10","New House Registrations","1990","1990","14","Cork","Number","1281"
"HSA10","New House Registrations","1990","1990","15","Kerry","Number","295"
"HSA10","New House Registrations","1990","1990","16","Limerick","Number","577"
"HSA10","New House Registrations","1990","1990","17","Tipperary","Number","203"
"HSA10","New House Registrations","1990","1990","18","Waterford","Number","389"
"HSA10","New House Registrations","1990","1990","19","Galway","Number","630"
"HSA10","New House Registrations","1990","1990","20","Leitrim","Number","19"
"HSA10","New House Registrations","1990","1990","21","Mayo","Number","141"
"HSA10","New House Registrations","1990","1990","22","Roscommon","Number","43"
"HSA10","New House Registrations","1990","1990","23","Sligo","Number","92"
"HSA10","New House Registrations","1990","1990","24","Cavan","Number","88"
"HSA10","New House Registrations","1990","1990","25","Donegal","Number","142"
"HSA10","New House Registrations","1990","1990","26","Monaghan","Number","67"
"HSA10","New House Registrations","1991","1991","-","All Counties","Number","10658"
"HSA10","New House Registrations","1991","1991","01","Carlow","Number","109"
"HSA10","New House Registrations","1991","1991","02","Dublin","Number","4684"
"HSA10","New House Registrations","1991","1991","03","Kildare","Number","744"
"HSA10","New House Registrations","1991","1991","04","Kilkenny","Number","255"
"HSA10","New House Registrations","1991","1991","05","Laois","Number","77"
"HSA10","New House Registrations","1991","1991","06","Longford","Number","25"
"HSA10","New House Registrations","1991","1991","07","Louth","Number","215"
"HSA10","New House Registrations","1991","1991","08","Meath","Number","249"
"HSA10","New House Registrations","1991","1991","09","Offaly","Number","78"
"HSA10","New House Registrations","1991","1991","10","Westmeath","Number","152"
"HSA10","New House Registrations","1991","1991","11","Wexford","Number","190"
"HSA10","New House Registrations","1991","1991","12","Wicklow","Number","118"
"HSA10","New House Registrations","1991","1991","13","Clare","Number","318"
"HSA10","New House Registrations","1991","1991","14","Cork","Number","1107"
"HSA10","New House Registrations","1991","1991","15","Kerry","Number","220"
"HSA10","New House Registrations","1991","1991","16","Limerick","Number","520"
"HSA10","New House Registrations","1991","1991","17","Tipperary","Number","166"
"HSA10","New House Registrations","1991","1991","18","Waterford","Number","235"
"HSA10","New House Registrations","1991","1991","19","Galway","Number","618"
"HSA10","New House Registrations","1991","1991","20","Leitrim","Number","17"
"HSA10","New House Registrations","1991","1991","21","Mayo","Number","159"
"HSA10","New House Registrations","1991","1991","22","Roscommon","Number","33"
"HSA10","New House Registrations","1991","1991","23","Sligo","Number","95"
"HSA10","New House Registrations","1991","1991","24","Cavan","Number","82"
"HSA10","New House Registrations","1991","1991","25","Donegal","Number","152"
"HSA10","New House Registrations","1991","1991","26","Monaghan","Number","40"
"HSA10","New House Registrations","1992","1992","-","All Counties","Number","12748"
"HSA10","New House Registrations","1992","1992","01","Carlow","Number","123"
"HSA10","New House Registrations","1992","1992","02","Dublin","Number","5864"
"HSA10","New House Registrations","1992","1992","03","Kildare","Number","932"
"HSA10","New House Registrations","1992","1992","04","Kilkenny","Number","174"
"HSA10","New House Registrations","1992","1992","05","Laois","Number","81"
"HSA10","New House Registrations","1992","1992","06","Longford","Number","16"
"HSA10","New House Registrations","1992","1992","07","Louth","Number","190"
"HSA10","New House Registrations","1992","1992","08","Meath","Number","256"
"HSA10","New House Registrations","1992","1992","09","Offaly","Number","84"
"HSA10","New House Registrations","1992","1992","10","Westmeath","Number","133"
"HSA10","New House Registrations","1992","1992","11","Wexford","Number","255"
"HSA10","New House Registrations","1992","1992","12","Wicklow","Number","315"
"HSA10","New House Registrations","1992","1992","13","Clare","Number","361"
"HSA10","New House Registrations","1992","1992","14","Cork","Number","1303"
"HSA10","New House Registrations","1992","1992","15","Kerry","Number","346"
"HSA10","New House Registrations","1992","1992","16","Limerick","Number","496"
"HSA10","New House Registrations","1992","1992","17","Tipperary","Number","169"
"HSA10","New House Registrations","1992","1992","18","Waterford","Number","368"
"HSA10","New House Registrations","1992","1992","19","Galway","Number","615"
"HSA10","New House Registrations","1992","1992","20","Leitrim","Number","12"
"HSA10","New House Registrations","1992","1992","21","Mayo","Number","215"
"HSA10","New House Registrations","1992","1992","22","Roscommon","Number","44"
"HSA10","New House Registrations","1992","1992","23","Sligo","Number","113"
"HSA10","New House Registrations","1992","1992","24","Cavan","Number","80"
"HSA10","New House Registrations","1992","1992","25","Donegal","Number","156"
"HSA10","New House Registrations","1992","1992","26","Monaghan","Number","47"
"HSA10","New House Registrations","1993","1993","-","All Counties","Number","13666"
"HSA10","New House Registrations","1993","1993","01","Carlow","Number","127"
"HSA10","New House Registrations","1993","1993","02","Dublin","Number","6145"
"HSA10","New House Registrations","1993","1993","03","Kildare","Number","853"
"HSA10","New House Registrations","1993","1993","04","Kilkenny","Number","189"
"HSA10","New House Registrations","1993","1993","05","Laois","Number","150"
"HSA10","New House Registrations","1993","1993","06","Longford","Number","33"
"HSA10","New House Registrations","1993","1993","07","Louth","Number","350"
"HSA10","New House Registrations","1993","1993","08","Meath","Number","383"
"HSA10","New House Registrations","1993","1993","09","Offaly","Number","62"
"HSA10","New House Registrations","1993","1993","10","Westmeath","Number","168"
"HSA10","New House Registrations","1993","1993","11","Wexford","Number","210"
"HSA10","New House Registrations","1993","1993","12","Wicklow","Number","370"
"HSA10","New House Registrations","1993","1993","13","Clare","Number","240"
"HSA10","New House Registrations","1993","1993","14","Cork","Number","1443"
"HSA10","New House Registrations","1993","1993","15","Kerry","Number","403"
"HSA10","New House Registrations","1993","1993","16","Limerick","Number","693"
"HSA10","New House Registrations","1993","1993","17","Tipperary","Number","241"
"HSA10","New House Registrations","1993","1993","18","Waterford","Number","341"
"HSA10","New House Registrations","1993","1993","19","Galway","Number","487"
"HSA10","New House Registrations","1993","1993","20","Leitrim","Number","16"
"HSA10","New House Registrations","1993","1993","21","Mayo","Number","188"
"HSA10","New House Registrations","1993","1993","22","Roscommon","Number","92"
"HSA10","New House Registrations","1993","1993","23","Sligo","Number","134"
